timestamp,ch_cane_feed_rate_tph,ch_trash_pct,ch_cane_pol_pct,ch_cane_brix_pct,ch_net_cane_tph,ch_fibre_tph,ch_sucrose_tph,ch_cane_purity_pct,mill_imbibition_water_pct,mill_mill_speed_rpm,mill_bagasse_moisture_pct,mill_juice_tph,mill_imbibition_tph,mill_mill_extraction_pct,mill_juice_brix_pct,mill_juice_pol_pct,mill_bagasse_wet_tph,mill_shift,mill_cane_source,clar_lime_dosage_kg_tc,clar_clarification_temp_c,clar_clarified_juice_tph,clar_mud_tph,clar_estimated_ph,clar_clarified_purity_pct,clar_turbidity_reduction_pct,evap_juice_brix_in_pct,evap_steam_flow_tph,evap_steam_economy,evap_syrup_out_tph,evap_water_evaporated_tph,evap_juice_brix_out_pct,evap_actual_steam_needed_tph,cryst_supersaturation_coeff,cryst_vacuum_pressure_mbar,cryst_massecuite_brix_pct,cryst_pan_temp_c,cryst_crystal_yield_pct,cryst_crystal_tph,cryst_molasses_tph,cryst_massecuite_tph,cent_centrifuge_speed_rpm,cent_wash_water_m3_hr,cent_sugar_tph,cent_molasses_tph_out,cent_g_factor,cent_separation_efficiency_pct,cent_final_sugar_purity_pct
13/02/2025 10:00 AM,255.819,1.441,15.048,17.241,252.134,31.517,37.94,87.276,32.024,3.027,57.095,323.036,80.742,96.097,14.817,13.039,73.456,morning,member,0.484,99.689,297.193,25.843,6.725,88.699,90.804,14.817,45.949,3.391,141.367,155.826,45.0,45.949,1.271,85.207,91.256,72.047,30.0,19.085,44.531,63.615,1249.036,1.447,27.954,35.661,392.393,87.886,99.634
13/02/2025 11:00 AM,212.416,2.474,16.853,19.067,207.16,25.895,34.913,88.387,21.239,4.718,58.376,243.074,43.999,96.097,16.327,14.367,62.212,morning,estate,1.164,89.502,223.628,19.446,7.746,89.359,86.086,16.327,44.143,4.166,39.721,183.906,78.0,44.143,1.064,46.224,88.768,65.141,36.741,11.383,19.599,30.983,1005.505,0.992,13.294,17.689,254.296,85.814,99.498
13/02/2025 12:00 PM,298.697,2.247,13.117,16.163,291.985,36.498,38.3,81.154,34.598,4.884,57.466,381.01,101.02,95.892,14.456,12.722,85.808,night,estate,1.529,114.208,350.529,30.481,8.294,81.809,81.275,14.456,56.852,2.812,190.675,159.854,45.0,56.852,0.992,57.055,87.902,67.518,30.0,25.741,60.063,85.804,1273.619,0.495,37.805,47.999,407.99,88.12,99.348
13/02/2025 01:00 PM,191.143,5.436,13.502,16.216,180.752,22.594,24.405,83.264,36.648,4.505,43.803,240.117,66.241,96.196,14.169,12.469,40.205,morning,estate,0.946,111.885,220.908,19.209,7.419,84.537,90.075,14.169,45.878,3.818,45.751,175.157,73.393,45.878,1.074,66.153,88.89,69.188,30.185,10.135,23.443,33.578,1087.481,0.565,14.516,19.062,297.45,86.462,99.37
13/02/2025 02:00 PM,242.789,2.474,18.323,20.547,236.782,29.598,43.386,89.178,26.961,7.201,59.811,291.348,63.838,96.085,15.526,13.662,73.646,night,estate,0.546,108.481,268.041,23.308,6.819,90.491,89.979,15.526,28.442,2.642,192.898,75.142,45.0,28.442,1.098,86.469,89.177,72.212,30.0,26.041,60.763,86.804,869.627,0.544,36.892,49.912,190.212,85.0,99.363
13/02/2025 03:00 PM,258.518,7.11,14.306,17.305,240.137,30.017,34.353,82.669,16.353,6.498,59.226,270.27,39.27,96.195,17.011,14.969,73.619,night,outside,0.836,87.885,248.649,21.622,7.255,83.871,89.863,17.011,52.622,2.807,100.913,147.735,45.0,52.622,1.37,53.27,92.436,66.743,30.0,13.623,31.788,45.411,1083.673,1.569,19.624,25.786,295.37,86.431,99.671
13/02/2025 04:00 PM,198.82,5.68,18.899,22.126,187.528,23.441,35.44,85.413,33.434,6.861,57.128,242.915,62.698,96.102,14.619,12.865,54.676,night,outside,1.42,98.101,223.481,19.433,8.131,86.499,86.065,14.619,57.64,3.536,33.522,189.959,78.0,53.724,1.21,70.719,90.523,69.942,41.857,10.945,15.203,26.147,1030.328,1.868,11.244,14.903,267.007,86.005,99.76
13/02/2025 05:00 PM,271.397,0.668,12.323,14.294,269.585,33.698,33.222,86.217,26.68,7.948,51.626,330.226,71.926,95.814,15.565,13.697,69.662,morning,member,0.553,100.574,303.807,26.418,6.829,87.737,92.09,15.565,33.329,2.926,206.301,97.506,45.0,33.329,1.326,68.048,91.916,69.507,30.0,27.851,64.985,92.836,864.457,1.131,39.455,53.38,187.957,85.0,99.539
13/02/2025 06:00 PM,209.231,7.569,15.471,17.02,193.395,24.174,29.92,90.901,17.363,7.849,43.963,219.481,33.579,96.125,16.869,14.845,43.14,night,outside,1.033,113.338,201.923,17.558,7.549,92.038,88.323,16.869,30.683,3.57,92.391,109.532,45.0,30.683,1.084,72.999,89.013,70.3,30.0,12.473,29.103,41.576,1287.036,1.192,18.345,23.231,416.631,88.249,99.558
13/02/2025 07:00 PM,182.33,2.294,14.275,16.323,178.148,22.268,25.43,87.452,23.278,7.353,43.874,212.847,41.47,96.199,16.041,14.116,39.676,morning,member,1.429,95.839,195.819,17.028,8.143,88.439,85.049,16.041,46.805,3.916,29.373,166.446,78.0,42.502,1.394,93.968,92.732,73.152,48.302,11.066,11.844,22.911,1129.696,0.474,9.945,12.966,320.992,86.815,99.342
13/02/2025 08:00 PM,121.565,8.336,18.972,21.821,111.431,13.929,21.14,86.944,22.266,5.394,50.376,131.951,24.811,96.15,16.183,14.241,28.069,night,member,1.344,105.088,121.395,10.556,8.015,88.131,87.427,16.183,57.445,3.795,18.209,103.186,78.0,27.194,1.009,65.665,88.107,69.105,34.813,4.945,9.259,14.203,1096.724,0.576,6.146,8.058,302.528,86.538,99.373
13/02/2025 09:00 PM,178.683,3.873,18.93,22.261,171.762,21.47,32.515,85.039,33.159,3.808,57.851,222.019,56.955,96.101,14.658,12.899,50.939,night,outside,1.015,101.609,204.258,17.762,7.522,86.63,92.944,14.658,31.77,4.078,74.707,129.551,45.0,31.77,1.084,99.999,89.007,73.854,30.0,10.085,23.533,33.618,1194.462,0.241,14.688,18.93,358.852,87.383,99.272
13/02/2025 10:00 PM,246.787,3.717,13.647,16.873,237.614,29.702,32.427,80.88,25.602,6.342,47.658,289.085,60.833,96.06,15.716,13.83,56.745,night,member,1.149,109.296,265.959,23.127,7.724,82.074,88.368,15.716,33.823,3.043,163.047,102.912,45.0,33.823,1.041,66.172,88.487,69.192,30.0,22.011,51.36,73.371,1093.99,0.214,31.739,41.632,301.021,86.515,99.264
13/02/2025 11:00 PM,284.257,0.612,13.871,15.815,282.517,35.315,39.187,87.706,29.676,7.696,49.88,355.126,83.84,96.025,15.145,13.328,70.46,night,estate,0.736,88.332,326.716,28.41,7.104,88.901,89.665,15.145,22.82,4.399,226.326,100.39,45.0,22.82,1.31,66.576,91.722,69.26,30.0,30.554,71.293,101.847,1224.677,1.883,44.639,57.208,377.237,87.659,99.765
14/02/2025 12:00 AM,150.336,9.883,17.248,20.51,135.478,16.935,23.367,84.095,27.527,7.941,48.384,167.61,37.294,96.19,15.446,13.593,32.809,night,member,1.52,109.77,154.201,13.409,8.28,84.937,83.176,15.446,49.636,3.342,23.13,131.071,78.0,39.222,1.076,45.173,88.911,64.881,37.157,6.704,11.338,18.042,1364.513,1.619,8.031,10.011,468.302,89.025,99.686
14/02/2025 01:00 AM,171.047,6.314,18.228,21.349,160.247,20.031,29.209,85.379,33.106,5.679,54.766,207.017,53.052,96.08,14.665,12.905,44.283,night,estate,0.437,104.547,190.456,16.561,6.656,86.751,90.084,14.665,52.797,2.69,48.407,142.049,59.804,52.797,1.328,68.798,91.931,69.631,30.0,8.685,20.264,28.949,999.545,0.718,12.415,16.534,251.29,85.769,99.415
14/02/2025 02:00 AM,130.792,4.516,16.646,19.615,124.886,15.611,20.788,84.864,32.951,6.205,41.98,161.288,41.151,96.198,14.687,12.924,26.906,night,outside,0.839,88.305,148.385,12.903,7.258,86.082,90.0,14.687,29.31,3.964,32.196,116.189,70.053,29.31,1.123,86.611,89.481,72.231,30.0,6.766,15.788,22.555,1257.679,0.906,9.92,12.634,397.842,87.968,99.472
14/02/2025 03:00 AM,238.145,1.418,18.053,20.929,234.768,29.346,42.383,86.256,26.22,3.672,54.402,287.118,61.556,96.079,15.629,13.754,64.358,night,outside,0.875,107.343,264.149,22.969,7.312,87.776,92.856,15.629,55.412,3.81,53.003,211.145,75.751,55.412,1.084,54.929,89.01,67.089,34.073,13.681,26.47,40.151,947.645,0.624,17.142,23.009,225.872,85.388,99.387
14/02/2025 04:00 AM,292.038,7.142,12.443,15.557,271.181,33.898,33.743,79.982,18.376,3.209,55.707,309.212,49.832,95.649,16.727,14.72,76.531,morning,member,1.331,94.994,284.475,24.737,7.996,81.025,86.033,16.727,39.543,3.226,156.918,127.557,45.0,39.543,1.123,78.458,89.474,71.115,30.0,21.184,49.429,70.613,1359.65,1.589,31.414,39.199,464.97,88.975,99.677
14/02/2025 05:00 AM,228.19,3.186,16.484,19.707,220.92,27.615,36.416,83.643,25.197,5.833,54.303,267.839,55.665,96.041,15.772,13.88,60.431,morning,estate,0.968,87.394,246.412,21.427,7.451,84.708,87.896,15.772,30.564,3.482,139.976,106.436,45.0,30.564,1.22,76.48,90.637,70.826,30.0,18.897,44.092,62.989,1377.625,1.94,28.081,34.909,477.346,89.16,99.782
14/02/2025 06:00 AM,223.415,9.889,16.901,20.039,201.323,25.165,34.026,84.34,19.003,3.351,53.541,231.75,38.258,96.11,16.64,14.643,54.167,night,member,1.429,98.198,213.21,18.54,8.144,85.421,85.983,16.64,43.612,4.115,33.75,179.459,78.0,43.612,0.97,71.361,87.646,70.044,33.467,8.81,17.515,26.325,960.301,0.277,11.251,15.074,231.945,85.479,99.283
14/02/2025 07:00 AM,210.698,9.53,13.332,15.076,190.618,23.827,25.414,88.434,38.979,4.372,47.807,257.636,74.301,96.179,13.843,12.182,45.652,night,outside,0.741,90.276,237.025,20.611,7.112,89.712,90.514,13.843,43.024,3.975,66.005,171.02,54.584,43.024,1.021,78.613,88.25,71.137,30.0,10.808,25.219,36.028,1053.267,1.05,15.525,20.502,279.028,86.185,99.515
14/02/2025 08:00 AM,117.691,7.485,17.446,20.39,108.882,13.61,18.995,85.56,38.754,4.955,49.672,146.916,42.196,96.178,13.874,12.21,27.043,night,member,0.613,93.161,135.162,11.753,6.92,86.838,89.94,13.874,33.325,2.731,44.153,91.01,46.531,33.325,0.982,78.656,87.788,71.143,30.0,6.163,14.381,20.545,844.635,1.105,8.731,11.813,179.436,85.0,99.532
14/02/2025 09:00 AM,245.901,9.725,18.61,21.792,221.986,27.748,41.311,85.396,26.417,7.596,44.237,271.809,58.642,96.027,15.602,13.729,49.761,morning,member,0.697,114.941,250.064,21.745,7.045,86.585,89.428,15.602,46.213,2.852,118.267,131.797,45.0,46.213,1.114,48.322,89.363,65.642,30.0,15.966,37.254,53.22,976.998,0.419,22.779,30.442,240.081,85.601,99.326
14/02/2025 10:00 AM,220.41,1.504,18.286,20.157,217.096,27.137,39.698,90.716,15.691,7.865,53.844,242.744,34.064,96.123,17.103,15.051,58.795,night,estate,0.608,89.537,223.324,19.42,6.912,91.844,88.42,17.103,51.776,3.354,49.68,173.645,68.328,51.776,0.985,95.478,87.82,73.332,30.0,10.184,23.762,33.945,877.952,0.401,14.427,19.519,193.871,85.0,99.32
14/02/2025 11:00 AM,232.295,3.159,13.715,15.642,224.957,28.12,30.852,87.677,24.366,3.483,44.181,270.887,54.813,96.051,15.889,13.982,50.376,morning,outside,0.809,96.425,249.216,21.671,7.214,89.246,93.644,15.889,48.618,3.528,77.702,171.514,48.751,48.618,1.131,70.609,89.57,69.925,30.0,11.364,26.517,37.881,806.384,0.464,16.099,21.782,163.551,85.0,99.339
14/02/2025 12:00 PM,279.762,2.906,14.268,17.34,271.633,33.954,38.756,82.284,37.377,2.792,51.159,362.448,101.529,96.056,14.067,12.379,69.52,morning,member,0.692,104.871,333.452,28.996,7.038,83.872,93.39,14.067,34.955,4.392,179.917,153.535,45.0,34.955,1.176,91.687,90.107,72.874,30.0,24.289,56.674,80.963,1081.749,0.32,34.982,45.981,294.322,86.415,99.296
14/02/2025 01:00 PM,256.792,1.184,15.497,17.685,253.751,31.719,39.325,87.629,22.201,3.349,54.939,300.29,56.334,96.14,16.192,14.249,70.391,morning,estate,1.14,114.246,276.266,24.023,7.71,88.633,86.51,16.192,52.686,2.708,133.581,142.686,45.0,52.686,1.102,60.764,89.225,68.229,30.0,18.033,42.078,60.111,929.781,1.757,25.626,34.485,217.436,85.262,99.727
14/02/2025 02:00 PM,256.183,9.736,13.109,15.408,231.241,28.905,30.312,85.077,30.549,5.113,43.689,292.615,70.643,95.992,15.023,13.22,51.331,morning,member,0.416,96.228,269.205,23.409,6.624,86.3,88.507,15.023,46.593,3.097,124.898,144.307,45.0,46.593,0.911,58.615,86.931,67.822,30.0,16.861,39.343,56.204,1352.418,1.975,24.983,31.221,460.037,88.901,99.793
14/02/2025 03:00 PM,285.437,1.07,18.678,20.932,282.383,35.298,52.743,89.23,19.598,6.697,45.417,326.651,55.343,96.078,16.556,14.569,64.669,morning,estate,1.005,91.38,300.519,26.132,7.508,90.421,88.978,16.556,31.36,3.425,193.116,107.403,45.0,31.36,1.073,97.174,88.87,73.531,30.0,26.071,60.831,86.902,1177.05,1.231,37.901,49.001,348.466,87.227,99.569
14/02/2025 04:00 PM,297.987,8.639,13.131,15.057,272.245,34.031,35.749,87.211,35.629,5.132,48.781,358.239,96.999,95.958,14.312,12.594,66.442,night,estate,0.871,97.184,329.58,28.659,7.307,88.754,93.109,14.312,54.614,4.495,84.087,245.493,59.577,54.614,1.122,65.597,89.46,69.093,30.0,15.029,35.067,50.096,984.759,0.217,21.456,28.64,243.911,85.659,99.265
14/02/2025 05:00 PM,216.257,7.798,17.33,20.708,199.394,24.924,34.555,83.689,37.297,7.599,52.943,266.02,74.369,96.117,14.078,12.389,52.966,night,member,0.799,89.8,244.739,21.282,7.198,85.0,91.101,14.078,21.097,4.006,160.225,84.514,45.0,21.097,1.024,89.035,88.283,72.543,30.0,21.63,50.471,72.101,1299.733,1.257,31.859,40.242,424.892,88.373,99.577
14/02/2025 06:00 PM,121.776,4.071,14.39,17.502,116.819,14.602,16.81,82.22,30.378,5.824,46.465,147.828,35.487,96.166,15.047,13.241,27.276,night,outside,0.49,114.595,136.002,11.826,6.736,83.238,86.782,15.047,45.827,4.247,20.4,115.602,78.0,27.217,1.3,60.38,91.606,68.157,45.016,7.163,8.749,15.912,1019.28,0.457,6.836,9.076,261.311,85.92,99.337
14/02/2025 07:00 PM,191.826,0.679,16.016,18.017,190.524,23.816,30.514,88.893,30.594,4.902,43.557,241.454,58.289,96.137,15.017,13.215,42.194,night,outside,1.273,99.25,222.137,19.316,7.909,90.158,88.515,15.017,41.283,3.202,89.944,132.194,45.0,41.283,1.294,97.592,91.523,73.579,30.0,12.142,28.332,40.475,1230.01,1.435,17.75,22.725,380.53,87.708,99.63
14/02/2025 08:00 PM,257.52,0.558,12.33,14.042,256.083,32.01,31.576,87.807,24.464,6.622,43.112,308.067,62.648,95.835,15.875,13.97,56.269,night,estate,0.835,104.827,283.421,24.645,7.252,89.463,94.403,15.875,47.07,3.614,113.307,170.114,45.0,47.07,1.0,81.024,88.001,71.478,30.0,15.296,35.692,50.988,1348.099,1.444,22.653,28.335,457.103,88.857,99.633
14/02/2025 09:00 PM,105.545,2.438,13.435,15.68,102.972,12.871,13.834,85.681,32.677,7.722,45.255,132.737,33.648,96.229,14.725,12.958,23.512,morning,outside,1.528,95.726,122.118,10.619,8.292,86.575,83.662,14.725,41.012,4.316,18.318,103.8,78.0,24.053,1.1,52.022,89.201,66.475,38.003,5.43,8.858,14.288,873.908,1.315,6.072,8.215,192.089,85.0,99.595
14/02/2025 10:00 PM,111.377,5.192,15.111,17.441,105.595,13.199,15.956,86.637,26.962,3.999,48.092,130.026,28.47,96.175,15.525,13.662,25.428,night,estate,1.54,92.788,119.624,10.402,8.31,87.403,82.323,15.525,58.436,3.665,17.944,101.681,78.0,27.746,0.942,78.901,87.309,71.178,32.485,4.547,9.449,13.996,1144.177,1.614,6.084,7.912,329.274,86.939,99.684
14/02/2025 11:00 PM,113.432,4.85,16.74,18.255,107.93,13.491,18.068,91.705,33.637,3.65,41.859,140.131,36.305,96.198,14.591,12.84,23.204,night,outside,1.088,87.797,128.92,11.21,7.633,92.677,86.425,14.591,33.579,4.069,19.338,109.582,78.0,26.931,1.298,60.168,91.576,68.118,44.931,6.777,8.306,15.084,1170.486,0.454,6.574,8.51,344.59,87.169,99.336
15/02/2025 12:00 AM,246.207,6.06,17.443,20.717,231.286,28.911,40.343,84.195,39.213,3.28,59.043,312.923,90.694,96.084,13.81,12.153,70.588,morning,member,0.822,108.432,287.89,25.034,7.233,85.718,93.13,13.81,31.121,3.722,172.063,115.826,45.0,31.121,1.181,48.706,90.171,65.731,30.0,23.229,54.2,77.428,1328.242,1.849,34.323,43.106,443.736,88.656,99.755
15/02/2025 01:00 AM,200.233,7.834,12.211,15.414,184.548,23.068,22.535,79.222,35.559,5.214,59.979,242.203,65.624,95.682,14.322,12.603,57.642,night,outside,0.879,101.903,222.827,19.376,7.319,80.947,94.888,14.322,31.074,3.912,101.269,121.558,45.0,31.074,1.385,43.839,92.616,64.543,30.0,13.671,31.9,45.571,1323.982,0.549,20.191,25.38,440.895,88.613,99.365
15/02/2025 02:00 AM,173.78,4.085,13.067,16.268,166.681,20.835,21.781,80.327,27.933,4.809,57.425,206.718,46.559,96.087,15.389,13.543,48.937,morning,estate,0.745,91.242,190.18,16.537,7.118,81.647,90.956,15.389,39.733,2.77,80.103,110.078,45.0,39.733,1.164,56.007,89.97,67.308,30.0,10.814,25.232,36.046,1007.315,0.312,15.469,20.577,255.212,85.828,99.294
15/02/2025 03:00 AM,121.123,2.023,17.109,20.22,118.673,14.834,20.303,84.611,39.472,3.483,56.548,160.867,46.843,96.083,13.774,12.121,34.139,night,estate,1.22,105.058,147.998,12.869,7.831,85.911,89.101,13.774,46.565,3.768,22.2,125.798,78.0,33.383,1.173,97.572,90.075,73.577,40.551,7.022,10.294,17.316,833.574,1.551,7.359,9.957,174.767,85.0,99.665
15/02/2025 04:00 AM,246.448,8.1,17.691,20.658,226.485,28.311,40.068,85.641,30.177,6.33,48.583,285.853,68.346,96.036,15.075,13.266,55.06,morning,outside,1.041,92.354,262.985,22.868,7.562,86.838,88.884,15.075,23.217,3.377,184.571,78.413,45.0,23.217,1.106,78.819,89.267,71.167,30.0,24.917,58.14,83.057,1198.184,0.855,36.303,46.754,361.092,87.416,99.457
15/02/2025 05:00 AM,164.204,3.661,13.656,16.425,158.193,19.774,21.603,83.141,16.622,3.785,46.741,178.438,26.295,96.176,16.973,14.936,37.128,night,member,0.907,91.361,164.163,14.275,7.36,84.42,90.303,16.973,56.544,2.997,24.624,139.538,78.0,46.561,1.294,99.457,91.527,73.793,44.788,8.602,10.605,19.207,878.044,0.437,8.163,11.044,193.912,85.0,99.331
15/02/2025 06:00 AM,153.065,3.225,13.608,17.028,148.128,18.516,20.157,79.912,33.259,6.539,48.657,191.749,49.266,96.189,14.644,12.886,36.063,night,estate,1.028,111.169,176.409,15.34,7.542,81.14,89.252,14.644,30.554,2.722,93.227,83.182,45.0,30.554,1.077,44.477,88.92,64.706,30.0,12.586,29.367,41.952,993.56,0.785,17.982,23.971,248.29,85.724,99.435
15/02/2025 07:00 AM,230.464,7.761,12.616,15.54,212.578,26.572,26.819,81.187,35.502,7.033,40.378,279.215,75.468,95.846,14.33,12.61,44.568,morning,estate,0.546,99.834,256.878,22.337,6.819,82.672,91.702,14.33,20.51,2.911,197.165,59.713,45.0,20.51,0.902,79.44,86.822,71.255,30.0,26.617,62.107,88.724,904.423,1.338,37.746,50.978,205.738,85.086,99.601
15/02/2025 08:00 AM,211.802,9.374,13.052,15.813,191.947,23.993,25.053,82.542,18.371,7.197,43.195,219.745,35.263,96.111,16.728,14.721,42.238,morning,estate,1.195,100.96,202.165,17.58,7.793,83.945,90.246,16.728,57.024,4.011,30.325,171.84,78.0,42.843,1.173,69.197,90.078,69.696,40.561,9.594,14.059,23.653,1139.051,0.992,10.277,13.377,326.33,86.895,99.498
15/02/2025 09:00 AM,172.482,9.192,12.056,15.134,156.627,19.578,18.883,79.664,31.982,2.879,50.929,200.269,50.093,95.881,14.822,13.044,39.898,morning,estate,1.018,108.083,184.247,16.022,7.527,81.024,90.626,14.822,29.542,3.764,73.053,111.194,45.0,29.542,1.077,97.483,88.93,73.566,30.0,9.862,23.012,32.874,1301.737,1.645,14.529,18.345,426.204,88.393,99.693
15/02/2025 10:00 AM,228.297,1.806,16.129,18.121,224.175,28.022,36.157,89.005,38.023,3.836,58.542,300.648,85.238,96.09,13.977,12.3,67.592,morning,estate,1.138,99.379,276.596,24.052,7.707,90.395,90.389,13.977,46.497,3.282,123.986,152.61,45.0,46.497,0.929,43.424,87.153,64.435,30.0,16.738,39.056,55.794,893.352,1.329,23.715,32.078,200.732,85.011,99.599
15/02/2025 11:00 AM,154.244,5.28,18.327,21.762,146.1,18.263,26.776,84.219,21.286,5.145,58.546,171.531,31.098,96.121,16.32,14.362,44.055,morning,member,0.733,92.172,157.809,13.723,7.1,85.565,91.166,16.32,21.414,3.741,77.701,80.108,45.0,21.414,1.078,73.619,88.939,70.396,30.0,10.49,24.476,34.966,1302.619,0.69,15.455,19.51,426.781,88.402,99.407
